Date,Close,Volume
2022-01-03,108.82026172983832,147042
2022-01-04,102.00078604183612,126214
2022-01-05,104.8936899205287,125353
2022-01-06,111.20446599600729,238498
2022-01-07,109.33778995074984,373780
2022-01-10,95.11361060061795,229900
2022-01-11,104.75044208762795,342521
2022-01-12,99.2432139585115,322069
2022-01-13,99.48390574103222,100612
2022-01-14,102.05299250969186,300794
2022-01-17,100.72021785580439,191204
2022-01-18,107.27136753481487,157961
2022-01-19,103.80518862573497,142506
2022-01-20,100.60837508246414,448172
2022-01-21,102.21931616372713,285960
2022-01-24,101.66837163687133,274305
2022-01-25,107.47039536578804,389189
2022-01-26,98.97420868117099,251719
2022-01-27,101.56533850825451,240192
2022-01-28,95.72952130349138,420890
2022-01-31,87.23505092082961,436794
2022-02-01,103.2680929772018,427779
2022-02-02,104.32218099429753,287609
2022-02-03,96.2891748979678,298962
2022-02-04,111.34877311993804,356344
2022-02-07,92.72817162700618,101608
2022-02-08,100.22879258650723,130105
2022-02-09,99.06408074987083,435399
2022-02-10,107.6638960717923,373642
2022-02-11,107.34679384950142,477116
2022-02-14,100.77473712848459,392504
2022-02-15,101.89081259801087,242994
2022-02-16,95.56107126184943,212812
2022-02-17,90.09601765888037,148851
2022-02-18,98.26043925336924,421837
2022-02-21,100.7817448455199,471510
2022-02-22,106.1514534036386,444064
2022-02-23,106.01189924392206,159530
2022-02-24,98.06336591296024,489062
2022-02-25,98.48848624712332,414259
2022-02-28,94.75723517466454,158530
2022-03-01,92.89991031410513,102098
2022-03-02,91.46864904687493,475026
2022-03-03,109.75387697615895,137734
2022-03-04,97.45173909124173,356128
2022-03-07,97.80962849194407,400516
2022-03-08,93.73602319975036,122893
2022-03-09,103.88745177915955,440073
2022-03-10,91.93051076221025,271714
2022-03-11,98.93629859893015,485249
2022-03-14,95.52266719403163,200111
2022-03-15,101.93451248929631,192311
2022-03-16,97.44597431215564,462380
2022-03-17,94.09683907938793,423329
2022-03-18,99.85908885830672,460317
2022-03-21,102.14165935265208,301990
2022-03-22,100.33258611191584,141574
2022-03-23,101.5123594886989,456262
2022-03-24,96.82838953159518,407531
2022-03-25,98.18629417006431,162834
2022-03-28,96.63769776112025,184338
2022-03-29,98.2022341922973,450898
2022-03-30,95.93426858977773,390050
2022-03-31,91.36858698834162,173036
2022-04-01,100.88713071126877,203069
2022-04-04,97.99109531895868,351401
2022-04-05,91.84900826516977,370963
